"filename", "language", "Markdown", "C++", "CMake", "YAML", "JSON", "Dart", "HTML", "XML", "Kotlin", "Kotlinscript", "Properties", "comment", "blank", "total"
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_artist.dart", "Dart", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 2, 13, 108
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_favsongs.dart", "Dart", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 1, 14, 130
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_follow.dart", "Dart", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 1, 10, 97
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_history.dart", "Dart", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 7, 62
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_lyrics.dart", "Dart", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 1, 10, 105
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_playlist.dart", "Dart", 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 26, 225
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_songs.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 32, 8, 69
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_user.dart", "Dart", 0, 0, 0, 0, 0, 251, 0, 0, 0, 0, 0, 18, 35, 304
"d:\code\DACN\DACN_Flutter\DACN\lib\services\network_check.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\code\DACN\DACN_Flutter\DACN\lib\theme\app_theme.dart", "Dart", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 8, 132
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\AudioPlayerUI.dart", "Dart", 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 4, 9, 229
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\FavoriteSongList.dart", "Dart", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 6, 104
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\HistoryList.dart", "Dart", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 1, 7, 87
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\NoInternetOverlay.dart", "Dart", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 1, 5, 91
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\Song_thumbnail.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\TrendingAlbums.dart", "Dart", 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 2, 11, 231
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\TrendingSong.dart", "Dart", 0, 0, 0, 0, 0, 553, 0, 0, 0, 0, 0, 32, 18, 603
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\autoScroollerText.dart", "Dart", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 4, 34
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\background_audio_notification.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\favorites_preview_list.dart", "Dart", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 4, 93
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\hawaii_greeting_card.dart", "Dart", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 2, 5, 114
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\history_preview_list.dart", "Dart", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 4, 67
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\library_empty_state.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 3, 51
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\library_quick_action.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 3, 56
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\library_section_header.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 3, 38
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\mini_player_widget.dart", "Dart", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 9, 100
